ID,Depot,SKU,Customer,ActivityDate,Inventory
0,13,40,6,1/1/2017,31
1,13,40,6,2/1/2017,31
2,13,40,6,3/1/2017,72
3,13,40,6,4/1/2017,62
4,13,40,6,5/1/2017,59
5,13,40,6,6/1/2017,38
6,13,40,6,7/1/2017,37
7,13,40,6,8/1/2017,37
8,13,40,6,9/1/2017,72
9,13,40,6,10/1/2017,67
10,13,40,6,11/1/2017,93
11,13,40,6,12/1/2017,90
12,13,40,6,13/1/2017,71
13,13,40,6,14/1/2017,71
14,13,40,6,15/1/2017,71
15,13,40,6,16/1/2017,59
16,13,40,6,17/1/2017,50
17,13,40,6,18/1/2017,80
18,13,40,6,19/1/2017,76
19,13,40,6,20/1/2017,48
20,13,40,6,21/1/2017,48
21,13,40,6,22/1/2017,48
22,13,40,6,23/1/2017,77
23,13,40,6,24/1/2017,71
24,13,40,6,25/1/2017,119
25,13,40,6,26/1/2017,113
26,13,40,6,27/1/2017,93
27,13,40,6,28/1/2017,93
28,13,40,6,29/1/2017,93
29,13,40,6,30/1/2017,68
30,13,40,6,31/1/2017,55
31,13,40,6,1/2/2017,117
32,13,40,6,2/2/2017,110
33,13,40,6,3/2/2017,82
34,13,40,6,4/2/2017,82
35,13,40,6,5/2/2017,82
36,13,40,6,6/2/2017,107
37,13,40,6,7/2/2017,71
38,13,40,6,8/2/2017,130
39,13,40,6,9/2/2017,127
40,13,40,6,10/2/2017,109
41,13,40,6,11/2/2017,109
42,13,40,6,12/2/2017,109
43,13,40,6,13/2/2017,78
44,13,40,6,14/2/2017,65
45,13,40,6,15/2/2017,126
46,13,40,6,16/2/2017,122
47,13,40,6,17/2/2017,104
48,13,40,6,18/2/2017,104
49,13,40,6,19/2/2017,94
50,13,40,6,20/2/2017,90
51,13,40,6,21/2/2017,78
52,13,40,6,22/2/2017,145
53,13,40,6,23/2/2017,145
54,13,40,6,24/2/2017,122
55,13,40,6,25/2/2017,122
56,13,40,6,26/2/2017,117
57,13,40,6,27/2/2017,86
58,13,40,6,28/2/2017,79
59,13,40,6,1/3/2017,120
60,13,40,6,2/3/2017,113
61,13,40,6,3/3/2017,88
62,13,40,6,4/3/2017,88
63,13,40,6,5/3/2017,88
64,13,40,6,6/3/2017,101
65,13,40,6,7/3/2017,84
66,13,40,6,8/3/2017,142
67,13,40,6,9/3/2017,138
68,13,40,6,10/3/2017,122
69,13,40,6,11/3/2017,122
70,13,40,6,12/3/2017,122
71,13,40,6,13/3/2017,101
72,13,40,6,14/3/2017,82
73,13,40,6,15/3/2017,128
74,13,40,6,16/3/2017,124
75,13,40,6,17/3/2017,108
76,13,40,6,18/3/2017,108
77,13,40,6,19/3/2017,99
78,13,40,6,20/3/2017,73
79,13,40,6,21/3/2017,54
80,13,40,6,22/3/2017,143
81,13,40,6,23/3/2017,140
82,13,40,6,24/3/2017,119
83,13,40,6,25/3/2017,119
84,13,40,6,26/3/2017,119
85,13,40,6,27/3/2017,112
86,13,40,6,28/3/2017,90
87,13,40,6,29/3/2017,146
88,13,40,6,30/3/2017,141
89,13,40,6,31/3/2017,115
90,13,40,31,1/1/2017,9
91,13,40,31,2/1/2017,9
92,13,40,31,3/1/2017,15
93,13,40,31,4/1/2017,13
94,13,40,31,5/1/2017,11
95,13,40,31,6/1/2017,10
96,13,40,31,7/1/2017,10
97,13,40,31,8/1/2017,10
98,13,40,31,9/1/2017,9
99,13,40,31,10/1/2017,8
100,13,40,31,11/1/2017,8
101,13,40,31,12/1/2017,8
102,13,40,31,13/1/2017,3
103,13,40,31,14/1/2017,3
104,13,40,31,15/1/2017,3
105,13,40,31,16/1/2017,6
106,13,40,31,17/1/2017,6
107,13,40,31,18/1/2017,10
108,13,40,31,19/1/2017,10
109,13,40,31,20/1/2017,4
110,13,40,31,21/1/2017,4
111,13,40,31,22/1/2017,4
112,13,40,31,23/1/2017,2
113,13,40,31,24/1/2017,1
114,13,40,31,25/1/2017,6
115,13,40,31,26/1/2017,3
116,13,40,31,27/1/2017,
117,13,40,31,28/1/2017,
118,13,40,31,29/1/2017,
119,13,40,31,30/1/2017,12
120,13,40,31,31/1/2017,11
121,13,40,31,1/2/2017,14
122,13,40,31,2/2/2017,13
123,13,40,31,3/2/2017,5
124,13,40,31,4/2/2017,5
125,13,40,31,5/2/2017,4
126,13,40,31,6/2/2017,1
127,13,40,31,7/2/2017,1
128,13,40,31,8/2/2017,12
129,13,40,31,9/2/2017,12
130,13,40,31,10/2/2017,9
131,13,40,31,11/2/2017,9
132,13,40,31,12/2/2017,9
133,13,40,31,13/2/2017,10
134,13,40,31,14/2/2017,9
135,13,40,31,15/2/2017,12
136,13,40,31,16/2/2017,12
137,13,40,31,17/2/2017,9
138,13,40,31,18/2/2017,9
139,13,40,31,19/2/2017,7
140,13,40,31,20/2/2017,12
141,13,40,31,21/2/2017,11
142,13,40,31,22/2/2017,15
143,13,40,31,23/2/2017,15
144,13,40,31,24/2/2017,7
145,13,40,31,25/2/2017,7
146,13,40,31,26/2/2017,7
147,13,40,31,27/2/2017,5
148,13,40,31,28/2/2017,4
149,13,40,31,1/3/2017,14
150,13,40,31,2/3/2017,14
151,13,40,31,3/3/2017,9
152,13,40,31,4/3/2017,9
153,13,40,31,5/3/2017,9
154,13,40,31,6/3/2017,12
155,13,40,31,7/3/2017,11
156,13,40,31,8/3/2017,22
157,13,40,31,9/3/2017,22
158,13,40,31,10/3/2017,20
159,13,40,31,11/3/2017,20
160,13,40,31,12/3/2017,20
161,13,40,31,13/3/2017,18
162,13,40,31,14/3/2017,17
163,13,40,31,15/3/2017,16
164,13,40,31,16/3/2017,16
165,13,40,31,17/3/2017,10
166,13,40,31,18/3/2017,10
167,13,40,31,19/3/2017,9
168,13,40,31,20/3/2017,7
169,13,40,31,21/3/2017,6
170,13,40,31,22/3/2017,11
171,13,40,31,23/3/2017,11
172,13,40,31,24/3/2017,8
173,13,40,31,25/3/2017,8
174,13,40,31,26/3/2017,8
175,13,40,31,27/3/2017,6
176,13,40,31,28/3/2017,5
177,13,40,31,29/3/2017,13
178,13,40,31,30/3/2017,11
179,13,40,31,31/3/2017,3
180,13,40,58,1/1/2017,18
181,13,40,58,2/1/2017,18
182,13,40,58,3/1/2017,35
183,13,40,58,4/1/2017,29
184,13,40,58,5/1/2017,25
185,13,40,58,6/1/2017,25
186,13,40,58,7/1/2017,25
187,13,40,58,8/1/2017,25
188,13,40,58,9/1/2017,29
189,13,40,58,10/1/2017,27
190,13,40,58,11/1/2017,24
191,13,40,58,12/1/2017,22
192,13,40,58,13/1/2017,18
193,13,40,58,14/1/2017,18
194,13,40,58,15/1/2017,18
195,13,40,58,16/1/2017,26
196,13,40,58,17/1/2017,19
197,13,40,58,18/1/2017,14
198,13,40,58,19/1/2017,14
199,13,40,58,20/1/2017,11
200,13,40,58,21/1/2017,11
201,13,40,58,22/1/2017,11
202,13,40,58,23/1/2017,19
203,13,40,58,24/1/2017,11
204,13,40,58,25/1/2017,16
205,13,40,58,26/1/2017,16
206,13,40,58,27/1/2017,10
207,13,40,58,28/1/2017,10
208,13,40,58,29/1/2017,10
209,13,40,58,30/1/2017,20
210,13,40,58,31/1/2017,16
211,13,40,58,1/2/2017,24
212,13,40,58,2/2/2017,24
213,13,40,58,3/2/2017,21
214,13,40,58,4/2/2017,21
215,13,40,58,5/2/2017,21
